,SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
15, J0019+4018 ,4.886018648,40.315111479,             NLTT 1011 B ,2014ApJ...792..119D,380379453539222784,0.11,      VB; ,2014ApJ...792..119D,      ... ,               ... ,       L2 ,2014ApJ...792..119D,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.544,0.059000000000000004,14.927999999999999,0.069,14.318,0.066,13.759,0.024,13.440999999999999,0.028999999999999998,12.870999999999999,0.535,-99999.0,-99999.0,-99999.0,-99999.0,20.185,0.022000000000000002,18.664,0.005,17.632,0.008,20.668000000000003,0.008,101.9,0.7,21.569000000000003,0.16899999999999998,32.6,5.1,18.948,0.034,211.7,6.7,20.595,17.81,1.53,-78.15,1.59,-193.04,0.82
17, J0021-4244 ,5.276170247,-42.745423869,         Koenigstuhl 1 B ,2000ApJ...538..363B,4992141475707360640,0.09,      VB; ,2007ApJ...667..520C,     M9.5 ,2000ApJ...538..363B,      ... ,               ... ,      ... ,               ... ,39.77,2.1,2014AJ....147...94D,13.520999999999999,0.025,12.809000000000001,0.025,12.304,0.025,11.912,0.023,11.607000000000001,0.022000000000000002,11.18,0.105,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,18.355,0.004,858.0,3.0,20.697,0.156,72.7,10.5,16.672,0.006,1721.2,9.7,18.245,38.52,0.54,258.64,0.73,-1.88,0.7
18, J0022-0110 ,5.539335964,-1.177589084,  2MASS 00220932-0110399 ,2008AJ....135..785W,2542048347725825024,0.06,       ...,                ...,       L0 ,2008AJ....135..785W,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.815999999999999,0.066,15.087,0.081,14.699000000000002,0.10099999999999999,14.373,0.028999999999999998,14.077,0.047,12.272,-99999.0,24.13,0.6,21.933000000000003,0.147,19.769000000000002,0.015,18.309,0.01,17.429000000000002,0.006,20.317,0.006999999999999999,140.7,0.9,21.624000000000002,0.21899999999999997,31.0,6.2,18.6,0.019,291.7,5.0,20.375999999999998,12.87,1.21,116.32,2.56,48.47,1.33
20, J0026-0943 ,6.546806682000001,-9.728676501,  2MASS 00261147-0943406 ,2010AJ....139.1808S,2426636872764826112,0.13,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.600999999999999,0.068,14.999,0.08199999999999999,14.379000000000001,0.073,14.04,0.027000000000000003,13.815,0.04,11.898,-99999.0,-99999.0,-99999.0,21.488000000000003,0.161,20.054000000000002,0.018000000000000002,18.535999999999998,0.013000000000000001,17.562,0.012,20.514,0.011000000000000001,117.4,1.2,21.158,0.293,47.6,12.8,18.8,0.048,242.5,10.8,20.362000000000002,17.05,1.2,-215.22,2.46,-155.43,1.44
21, J0026+0632 ,6.668619442000001,6.537361408,ULAS J002640.45+063215.1 ,2016A&A...589A..49S,2747837646968986624,0.04,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,14.572000000000001,0.033,13.752,0.035,13.22,0.038,12.96,0.025,12.684000000000001,0.027000000000000003,12.100999999999999,0.381,-99999.0,-99999.0,21.186,0.049,18.883,0.009000000000000001,17.35,0.01,16.375999999999998,0.008,19.307000000000002,0.004,357.0,1.4,21.229,0.231,44.6,9.5,17.632,0.013999999999999999,710.9,9.0,19.354,31.25,0.61,10.88,1.25,-96.26,0.73
22, J0028+2248 ,7.090163406,22.815907902,  2MASSJ00282091+2249050 ,2010ApJ...710.1142B,2800081221135505536,0.37,       ...,                ...,      ... ,               ... ,      L7: ,2010ApJ...710.1142B,   -99999.,           -99999. ,-99999.0,-99999.0,           -99999. ,15.607000000000001,0.07200000000000001,14.468,0.053,13.780999999999999,0.063,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.889,0.013999999999999999,83.1,1.0,20.953000000000003,0.47200000000000003,57.5,25.0,19.188,0.047,169.6,7.4,20.91,41.35,1.99,564.53,3.97,-435.72,3.35
23, J0028+1131 ,7.189320322,11.531980400999998,ULAS J002845.37+113154.9 ,2016A&A...589A..49S,2754575454224004864,0.14,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,16.012,0.079,15.27,0.1,14.912,0.12,14.44,0.028999999999999998,14.087,0.051,12.356,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.094,0.02,18.588,0.008,17.625999999999998,0.016,20.575,0.01,111.0,1.0,21.705,0.23,28.7,6.1,18.886,0.035,224.1,7.3,20.625999999999998,13.96,1.37,176.44,3.8,60.02,1.8
25, J0029+0303 ,7.351044288,3.055584177,ULAS J002924.20+030320.5 ,2016A&A...589A..49S,2547833630018528768,0.06,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.0,-99999.0,           -99999. ,15.597999999999999,0.055999999999999994,14.984000000000002,0.053,14.384,0.068,14.186,0.027999999999999997,13.93,0.040999999999999995,12.235,-99999.0,-99999.0,-99999.0,22.026,0.205,19.839000000000002,0.015,18.348,0.009000000000000001,17.424,0.013999999999999999,20.336,0.006999999999999999,138.4,0.9,20.679000000000002,0.29600000000000004,74.0,20.2,18.627,0.031,284.5,8.1,20.342,13.67,1.07,115.23,1.58,-68.61,1.32
26, J0030+2244 ,7.604228935,22.746128459,              HIP 2397 B ,2014ApJ...792..119D,2800023565494388480,0.14,      VB; ,2014ApJ...792..119D,      ... ,               ... ,     L0.5 ,2014ApJ...792..119D,      ... ,               ... ,29.506999999999998,1.149,2007A&A...474..653V,14.585999999999999,0.038,13.975,0.048,13.181,-99999.0,13.097000000000001,0.025,12.847000000000001,0.027000000000000003,12.564,0.45899999999999996,20.174,0.044000000000000004,21.44,0.04,18.952,0.005,17.451,0.011000000000000001,16.456,0.009000000000000001,19.407,0.004,325.3,1.1,21.905,0.35200000000000004,23.9,7.8,17.759,0.019,632.5,10.8,19.323,28.85,0.5,194.16,0.83,-185.03,0.46
27, J0030+3139 ,7.682336772,31.658638206,  2MASSW J0030438+313932 ,1999ApJ...519..802K,2859617950419161600,0.05,       ...,                ...,       L2 ,1999ApJ...519..802K,       L3 ,2014ApJ...794..143B,      ... ,               ... ,-99999.0,-99999.0,               ... ,15.48,0.054000000000000006,14.617,0.057,14.027000000000001,0.048,13.485,0.025,13.133,0.027999999999999997,12.182,0.324,-99999.0,-99999.0,21.863000000000003,0.11900000000000001,19.98,0.013000000000000001,18.524,0.004,17.537,0.012,20.479,0.01,121.3,1.1,21.348000000000003,0.188,39.9,6.9,18.801,0.031,242.4,7.0,20.424,20.17,1.91,-66.86,3.01,-63.77,2.85
