SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J0428-2253 , 67.212938347,-22.888946218,  2MASSI J0428510-225323 ,2003A&A...403..929K, 4898159649876292096,  0.06,       ...,                ...,     L0.5 ,2003A&A...403..929K,       L0 ,2014ApJ...794..143B,      ... ,               ... ,    38.480,     1.850,2014AJ....147...94D,    13.507,     0.023,    12.668,     0.027,    12.118,     0.026,    11.724,     0.023,    11.472,     0.022,    10.957,     0.132,-99999.000,-99999.000,    20.226,     0.015,    17.954,     0.004,    16.497,     0.005,    15.516,     0.007,    18.609,     0.005,     679.1,     3.4,    21.165,     0.164,      47.3,     7.1,    16.762,     0.006,    1584.3,     9.3,    18.287,   37.88, 0.41,  120.40, 0.50,  150.09, 0.54
 J0435+2115 , 68.900603722, 21.251130041,WISEA J043535.82+211508.9,2014ApJ...783..122K,  144711230753602048,  0.56,       ...,                ...,    L0 sd ,2014ApJ...783..122K,    M9 sd ,2014ApJ...786L..18L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.011,     0.031,    14.682,     0.053,    14.594,     0.081,    13.999,     0.029,    13.668,     0.039,    11.545,-99999.000,-99999.000,-99999.000,    21.528,     0.082,-99999.000,-99999.000,    17.142,     0.000,    16.546,     0.007,    19.156,     0.004,     410.3,     1.4,    21.575,     0.205,      32.4,     6.1,    17.565,     0.013,     756.2,     9.3,    19.714,   18.30, 0.55,  871.71, 0.95, -964.06, 0.61
 J0436-4218 , 69.085783857,-42.314352816,  2MASS 04362054-4218523 ,2008AJ....136.1290R, 4815587464796456192,  0.01,       ...,                ...,      L0: ,2008AJ....136.1290R,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.489,     0.040,    13.654,     0.034,    13.137,     0.035,    12.786,     0.024,    12.517,     0.023,    12.073,     0.223,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.508,     0.008,     296.6,     2.2,    20.960,     0.321,      57.1,    16.9,    17.709,     0.013,     662.6,     8.1,    19.295,   21.79, 0.75,   36.49, 1.54,   35.99, 1.46
 J0439-2353 , 69.753653709,-23.886351239,  2MASSI J0439010-235308 ,2003AJ....126.2421C, 4894945708668731264,  0.13,       ...,                ...,     L6.5 ,2003AJ....126.2421C,     L4.5 ,2014AJ....147...34S,      ... ,               ... ,   110.400,     4.000,2012ApJ...752...56F,    14.408,     0.029,    13.409,     0.029,    12.816,     0.023,    12.060,     0.024,    11.687,     0.022,    11.074,     0.121,-99999.000,-99999.000,    21.444,     0.082,    19.526,     0.012,    17.506,     0.007,    16.486,     0.012,    19.581,     0.004,     277.3,     0.9,    21.197,     0.166,      45.9,     7.0,    17.843,     0.013,     585.5,     7.0,    19.545,   80.79, 0.51, -113.61, 0.69, -153.11, 0.81
 J0443-3202 , 70.774209956,-32.034911816,  2MASSI J0443058-320209 ,2003A&A...403..929K, 4877448669035035520,  0.06,       ...,                ...,       L5 ,2003A&A...403..929K,    L6.5: ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.273,     0.052,    14.350,     0.056,    13.877,     0.063,    12.988,     0.024,    12.648,     0.025,    11.807,     0.187,-99999.000,-99999.000,    20.543,     0.021,    19.887,     0.050,-99999.000,-99999.000,-99999.000,-99999.000,    20.493,     0.009,     119.7,     1.0,    20.594,     0.295,      80.0,    21.7,    18.553,     0.044,     304.4,    12.3,    20.479,   48.31, 0.74,   -7.12, 1.30,  194.41, 1.64
 J0443+0002 , 70.906940544,  0.034289780,             2MUCD 10320 ,2007AJ....133..439C, 3230008650057256960,  0.02,      MG; ,2014ApJ...783..121G,  M9Int-G ,2007AJ....133..439C,  L0Int-G ,2013ApJ...772...79A,      ... ,               ... ,    47.320,     1.020,2016ApJ...833...96L,    12.507,     0.026,    11.804,     0.024,    11.216,     0.021,    10.831,     0.023,    10.481,     0.021,    10.084,     0.067,    21.511,     0.065,    19.660,     0.016,    16.956,     0.004,    15.381,     0.001,    14.403,     0.004,    17.333,     0.002,    2199.2,     3.5,    20.738,     0.090,      70.1,     5.8,    15.677,     0.009,    4305.7,    34.3,    17.416,   47.41, 0.19,   55.11, 0.40, -107.48, 0.28
 J0445-3048 , 71.475377523,-30.807539981,  2MASSI J0445538-304820 ,2003AJ....126.2421C, 4878035808244168832,  0.17,       ...,                ...,       L2 ,2003AJ....126.2421C,      ... ,               ... ,      ... ,               ... ,    78.500,     4.900,2012ApJ...752...56F,    13.393,     0.026,    12.580,     0.024,    11.975,     0.021,    11.585,     0.023,    11.340,     0.022,    10.709,     0.080,-99999.000,-99999.000,    20.112,     0.111,    17.781,     0.004,-99999.000,-99999.000,    15.382,     0.004,    18.256,     0.003,     939.3,     2.3,    21.323,     0.124,      40.9,     4.7,    16.645,     0.010,    1765.5,    16.3,    18.345,   61.97, 0.18,  161.48, 0.28, -419.68, 0.39
 J0451-3402 , 72.754443471,-34.036881314,  2MASSI J0451009-340214 ,2003AJ....126.2421C, 4873243032763432064,  0.08,       ...,                ...,     L0.5 ,2003AJ....126.2421C,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,    47.460,     1.510,2014AJ....147...94D,    13.541,     0.023,    12.826,     0.023,    12.294,     0.026,    11.935,     0.023,    11.672,     0.021,    11.105,     0.103,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.454,     0.002,     783.0,     1.6,    21.216,     0.162,      45.1,     6.7,    16.807,     0.008,    1520.0,    11.5,    18.415,   45.80, 0.17,   96.85, 0.28,  138.22, 0.31
 J0453-1751 , 73.360533934,-17.865177620,  2MASSI J0453264-175154 ,2003AJ....126.2421C, 2979566285233332608,  0.03,       ...,                ...,      L3: ,2003AJ....126.2421C,       L3 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.142,     0.035,    14.060,     0.035,    13.466,     0.035,    12.952,     0.024,    12.608,     0.023,    12.028,     0.211,    23.756,-99999.000,    22.144,     0.007,    19.691,     0.008,    18.223,     0.011,    17.193,     0.008,    20.178,     0.007,     160.1,     1.0,    21.792,     0.205,      26.5,     5.0,    18.502,     0.019,     319.2,     5.5,    20.156,   33.22, 0.59,   44.63, 0.74,  -20.77, 0.82
 J0500+0330 , 75.087597189,  3.512396422,  2MASS 05002100+0330501 ,2008AJ....136.1290R, 3238449635184620672,  0.32,       ...,                ...,       L4 ,2008AJ....136.1290R,       L4 ,2014ApJ...794..143B,      ... ,               ... ,    73.850,     1.980,2014AJ....147...94D,    13.669,     0.024,    12.683,     0.023,    12.062,     0.024,    11.511,     0.022,    11.244,     0.021,    10.930,     0.139,-99999.000,-99999.000,    20.723,     0.047,    18.596,     0.005,    16.987,     0.003,    15.934,     0.005,    18.924,     0.002,     507.9,     1.0,    21.304,     0.226,      41.6,     8.7,    17.262,     0.009,    1000.2,     7.9,    18.869,   76.21, 0.36,   10.20, 0.58, -351.69, 0.40
 J0501-0010 , 75.351174670, -0.179954741,             2MUCD 20198 ,2008AJ....136.1290R, 3228124598226930816,  0.27,       ...,                ...,  L4Int-G ,2009AJ....137.3345C,  L3Int-G ,2013ApJ...772...79A,      ... ,               ... ,    48.350,     1.380,2016ApJ...833...96L,    14.982,     0.038,    13.713,     0.034,    12.963,     0.035,    12.050,     0.023,    11.522,     0.022,    10.746,     0.106,-99999.000,-99999.000,-99999.000,-99999.000,    20.043,     0.028,    18.490,     0.016,    17.447,     0.016,    20.430,     0.007,     126.9,     0.9,    21.300,     0.181,      41.7,     6.9,    18.828,     0.031,     236.4,     6.8,    19.672,   47.08, 0.89,  189.25, 1.52, -145.31, 1.16
 J0502+1442 , 75.556377702, 14.710117567,  2MASSI J0502134+144236 ,2010AJ....139.1808S, 3392546632197477248,  0.07,       ...,                ...,       L0 ,2010AJ....139.1808S,       M9 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.271,     0.026,    13.392,     0.021,    12.955,     0.029,    12.652,     0.030,    12.409,     0.029,    11.220,     0.221,    22.426,     0.363,    20.801,     0.028,    18.425,     0.005,    16.961,     0.008,    16.025,     0.010,    18.931,     0.005,     504.4,     2.2,    21.120,     0.166,      49.3,     7.5,    17.232,     0.022,    1028.3,    21.3,    18.880,   21.60, 0.46,   72.93, 0.71,  -25.27, 0.53
 J0518-2756 , 79.692519694,-27.946052323,             2MUCD 10381 ,2007AJ....133..439C, 2955015805492793088,  0.02,      MG; ,2014ApJ...783..121G,  L1Int-G ,2007AJ....133..439C,  L1Int-G ,2013ApJ...772...79A,      ... ,               ... ,    18.440,     1.110,2016ApJ...833...96L,    15.262,     0.043,    14.295,     0.046,    13.615,     0.040,    13.043,     0.023,    12.661,     0.026,    12.590,     0.405,    23.736,-99999.000,    21.887,     0.155,    19.993,     0.023,    18.487,     0.012,    17.498,     0.008,    20.476,     0.009,     121.6,     1.0,    21.674,     0.175,      29.6,     4.8,    18.792,     0.036,     244.3,     8.0,    20.095,   17.27, 0.81,   32.19, 1.30,   -4.94, 1.45
 J0523-1403 , 80.909742114,-14.049865288,  2MASSI J0523382-140302 ,2003AJ....126.2421C, 2985035874544160384,  0.16,       ...,                ...,     L2.5 ,2003AJ....126.2421C,       L5 ,2003IAUS..211..197W,      ... ,               ... ,    80.950,     1.760,2014AJ....147...94D,    13.084,     0.024,    12.220,     0.022,    11.638,     0.027,    11.167,     0.023,    10.872,     0.020,    10.375,     0.071,    21.570,     0.182,    19.933,     0.030,    17.613,     0.003,    16.181,     0.003,    15.181,     0.004,    18.057,     0.002,    1128.4,     1.7,    21.473,     0.145,      35.6,     4.8,    16.441,     0.011,    2129.4,    20.9,    18.416,   78.36, 0.19,  107.25, 0.29,  160.90, 0.34
 J0525-7426 , 81.416344476,-74.432139931,  2MASS 05253876-7426008 ,2010ApJS..190..100K, 4649547258951535232,  0.19,       ...,                ...,       L2 ,2010ApJS..190..100K,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.713,     0.070,    14.966,     0.097,    14.433,     0.098,    13.977,     0.025,    13.594,     0.028,    12.653,     0.278,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.542,     0.009,     114.4,     1.0,    20.763,     0.400,      68.4,    25.2,    18.850,     0.046,     231.7,     9.9,    20.646,   21.46, 0.75,  269.45, 1.68,  309.56, 1.59
 J0526-4455 , 81.681171740,-44.930032655,  2MASS 05264348-4455455 ,2007A&A...466.1059K, 4799535763263998080,  0.11,       ...,                ...,     M9.5 ,2008ApJ...689.1295K,       L1 ,2007A&A...466.1059K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.082,     0.033,    13.307,     0.028,    12.705,     0.027,    12.385,     0.023,    12.091,     0.022,    11.723,     0.148,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.948,     0.003,     496.5,     1.5,    21.186,     0.222,      46.4,     9.5,    17.311,     0.010,     955.8,     8.9,    18.984,   30.32, 0.21,    2.45, 0.44, -161.97, 0.42
 J0526-5026 , 81.749101257,-50.438370433,  2MASS 05265973-5026216 ,2008AJ....136.1290R, 4796425760263724800,  0.14,       ...,                ...,       L3 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.412,     0.066,    14.395,     0.046,    13.640,     0.045,    13.043,     0.024,    12.734,     0.023,    12.481,     0.285,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.687,     0.012,     100.1,     1.1,    21.471,     0.189,      35.7,     6.2,    18.927,     0.070,     215.7,    13.9,    20.252,   37.52, 1.14,   22.29, 2.88,  227.20, 2.08
 J0532+8246 , 83.296649865, 82.772057099,  2MASS 05325346+8246465 ,2003AJ....125..850B,  558122277038055808,  1.33,       ...,                ...,    L7 sd ,2007AJ....134.1330B,     L sd ,2003AJ....125..850B,      ... ,               ... ,    42.280,     1.760,2009A&A...493L..27S,    15.179,     0.059,    14.904,     0.092,    14.918,     0.146,    13.824,     0.025,    13.260,     0.028,    12.367,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.186,     0.007,     158.9,     1.0,    21.797,     0.399,      26.4,     9.7,    18.439,     0.029,     338.1,     9.1,    21.352,   40.24, 0.64, 2038.34, 1.09,-1663.73, 1.23
 J0532+0418 , 83.239154832,  4.311193281,WISEA J053257.29+041842.5,2014ApJ...783..122K, 3236465703888892032,  0.19,       ...,                ...,      ... ,               ... ,       L3 ,2014ApJ...783..122K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.440,     0.062,    14.415,     0.056,    13.855,     0.060,    13.300,     0.026,    12.970,     0.029,    12.131,     0.398,-99999.000,-99999.000,    21.808,     0.051,    19.710,     0.022,    18.244,     0.010,    17.311,     0.018,    20.194,     0.009,     157.6,     1.2,    21.853,     0.390,      25.1,     9.0,    18.612,     0.030,     288.3,     8.0,    20.250,   28.35, 0.88,  279.24, 1.42, -442.27, 1.48
 J0539+4068 , 84.857018885, 40.641639185,           LSRJ0539+4038 ,2002AJ....124.1190L,  191109281417914880,  0.50,       ...,                ...,     M8.0 ,2003AJ....125.1598L,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    11.109,     0.021,    10.446,     0.021,    10.044,     0.018,     9.806,     0.024,     9.606,     0.022,     9.385,     0.044,    19.090,     0.020,    17.502,     0.007,    14.721,     0.002,    13.444,     0.009,    12.674,     0.003,    15.302,     0.001,   14269.7,    14.8,    18.653,     0.039,     477.7,    17.1,    13.746,     0.005,   25493.4,   119.4,    15.685,   87.54, 0.19,  645.46, 0.21, -834.66, 0.20
 J0539+5253 , 84.956299429, 52.899292032,             HIP 26653 B ,2014ApJ...792..119D,  263696736978069120,  0.11,      VB; ,2014ApJ...792..119D,      ... ,               ... ,       L5 ,2014ApJ...792..119D,      ... ,               ... ,    35.778,     0.934,2007A&A...474..653V,    14.756,     0.044,    13.910,     0.042,    13.322,     0.029,    12.403,     0.023,    12.140,     0.024,    11.289,     0.157,-99999.000,-99999.000,    20.590,     0.060,    18.972,     0.026,    17.695,     0.012,    16.673,     0.002,    19.670,     0.010,     255.4,     2.3,    21.315,     0.251,      41.2,     9.5,    17.923,     0.021,     543.8,    10.3,    19.734,   36.09, 0.73,  -12.71, 0.87, -151.51, 0.94
 J0539-0059 , 84.967381466, -0.982360103,SDSSp J053951.99-005902.0,2000AJ....119..928F, 3217523558083415040,  0.14,       ...,                ...,       L5 ,2000AJ....119..928F,       L5 ,2004AJ....127.3553K,      ... ,               ... ,    79.180,     1.040,2016AJ....152...24W,    14.033,     0.031,    13.104,     0.026,    12.527,     0.024,    11.891,     0.023,    11.594,     0.021,    11.716,     0.288,-99999.000,-99999.000,    21.174,     0.048,    19.057,     0.009,    17.145,     0.010,    16.080,     0.006,    19.178,     0.005,     401.9,     2.0,    20.407,     0.333,      95.0,    29.1,    17.444,     0.022,     845.7,    17.1,    19.358,   78.53, 0.57,  162.45, 0.79,  321.15, 0.76
 J0543+6422 , 85.829272421, 64.380217862,  2MASS 05431887+6422528 ,2008AJ....136.1290R,  287767760929497344,  0.10,       ...,                ...,       L1 ,2008AJ....136.1290R,       L1 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.567,     0.031,    12.669,     0.032,    12.050,     0.023,    11.656,     0.023,    11.387,     0.022,    10.759,     0.088,-99999.000,-99999.000,    20.413,     0.026,    18.079,     0.010,    16.700,     0.009,    15.660,     0.010,    18.971,     0.009,     486.4,     4.1,    20.319,     0.318,     103.0,    30.2,    16.899,     0.014,    1396.6,    17.4,    18.419,   32.84, 1.59,   44.57, 1.78, -243.10, 2.02
 J0550+1610 , 87.533452787, 16.180669468,WISEA J055007.94+161051.9,2014ApJ...783..122K, 3348325893730781952,  0.21,       ...,                ...,      ... ,               ... ,       L2 ,2014ApJ...783..122K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.441,     0.026,    13.490,     0.027,    12.836,     0.027,    12.346,     0.024,    12.039,     0.024,    11.570,     0.213,-99999.000,-99999.000,    21.443,     0.021,    19.138,     0.010,    17.594,     0.004,    16.569,     0.007,    19.503,     0.006,     298.0,     1.6,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    19.374,   49.12, 0.85,  249.57, 1.83, -296.26, 1.98
 J0559-1404 , 89.832482992,-14.081791142,  2MASS 05591914-1404488 ,2000AJ....120.1100B, 2997171394834174976,  0.40,       ...,                ...,       T5 ,2003AJ....126.2487B,     T4.5 ,2006ApJ...639.1095B,      ... ,               ... ,    96.800,     1.200,2016AJ....152...24W,    13.802,     0.024,    13.679,     0.044,    13.577,     0.052,    13.393,     0.025,    11.908,     0.021,    10.605,     0.089,-99999.000,-99999.000,-99999.000,-99999.000,    21.549,     0.063,    18.005,     0.062,    16.329,     0.012,    20.167,     0.007,     161.6,     1.1,    21.502,     0.190,      34.7,     6.1,    18.167,     0.039,     434.6,    15.4,    21.043,   94.42, 1.20,  570.20, 1.64, -337.59, 1.47
 J0602+6336 , 90.592203240, 63.609801059,  2MASS 06022216+6336391 ,2008AJ....136.1290R, 1008061401700431616,  0.09,       ...,                ...,      L1: ,2008AJ....136.1290R,     L1.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.266,     0.030,    13.357,     0.030,    12.683,     0.023,    12.223,     0.023,    11.948,     0.023,    11.715,     0.220,-99999.000,-99999.000,    20.972,     0.069,    18.715,     0.005,    17.282,     0.004,    16.304,     0.008,    19.322,     0.007,     352.1,     2.4,    21.054,     0.256,      52.4,    12.3,    17.525,     0.014,     785.1,    10.2,    19.121,   28.84, 1.17,  -25.05, 1.22, -225.78, 1.41
 J0602+3910 , 90.627819886, 39.180760842,           LSR 0602+3910 ,2003ApJ...586L.149S, 3457493517036545280,  0.27,       ...,                ...,       L1 ,2003ApJ...586L.149S,       L1 ,2014ApJ...794..143B,      ... ,               ... ,    87.840,     1.040,2016ApJ...833...96L,    12.300,     0.022,    11.451,     0.021,    10.865,     0.020,    10.418,     0.023,    10.135,     0.021,     9.655,     0.049,    21.923,     0.202,    19.274,     0.000,    16.877,     0.005,    15.352,     0.013,    14.357,     0.003,    17.256,     0.002,    2360.4,     4.5,    20.934,     0.119,      58.5,     6.4,    15.610,     0.013,    4578.7,    53.0,    17.335,   85.61, 0.17,  156.89, 0.35, -506.28, 0.28
 J0605-2342 , 91.257775536,-23.707066065,  2MASS 06050196-2342270 ,2007AJ....133..439C, 2913249451860183168,  0.05,       ...,                ...,      L0: ,2007AJ....133..439C,      L1: ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.512,     0.035,    13.727,     0.036,    13.145,     0.031,    12.838,     0.023,    12.545,     0.024,    12.648,     0.492,-99999.000,-99999.000,    21.220,     0.043,    18.901,     0.007,    17.402,     0.005,    16.381,     0.009,    19.325,     0.003,     350.9,     1.0,    21.784,     0.232,      26.7,     5.7,    17.673,     0.009,     685.1,     5.6,    19.453,   30.63, 0.33,  -81.19, 0.33,   93.70, 0.52
 J0607+2429 , 91.910345505, 24.497738305,WISEP J060738.65+242953.4,2013ApJ...776..126C, 3426333598021539840,  0.33,       ...,                ...,      ... ,               ... ,       L9 ,2013ApJ...776..126C,      ... ,               ... ,   139.000,     2.000,2013ApJ...776..126C,    14.218,     0.026,    13.038,     0.025,    12.469,     0.022,    11.539,     0.023,    10.938,     0.022,     9.886,     0.055,-99999.000,-99999.000,    22.201,     0.081,    20.075,     0.008,    17.368,     0.005,    16.299,     0.006,    19.565,     0.007,     281.5,     1.7,    21.100,     0.120,      50.2,     5.6,    17.627,     0.040,     714.7,    26.1,    19.770,  136.94, 0.66, -474.94, 1.07, -320.00, 0.90
 J0607+4550 , 91.925794984, 45.842839583,WISEA J060742.13+455037.0,2014ApJ...783..122K,  963292964707774080,  0.15,       ...,                ...,      ... ,               ... ,     L2.5 ,2014ApJ...783..122K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.942,     0.035,    14.034,     0.034,    13.329,     0.027,    12.860,     0.024,    12.541,     0.024,    11.767,     0.252,-99999.000,-99999.000,    21.403,     0.125,-99999.000,-99999.000,    18.116,     0.016,    17.133,     0.005,    19.969,     0.010,     194.0,     1.8,    20.968,     0.183,      56.7,     9.5,    18.274,     0.035,     393.9,    12.8,    19.834,   39.37, 1.03,  101.22, 1.49, -563.35, 1.47
 J0608-2753 , 92.220201428,-27.899505245,  2MASS 06085283-2753583 ,2008ApJ...689.1295K, 2898019875782441856,  0.02,      MG; ,2014ApJ...783..121G,  M9Int-G ,2008ApJ...689.1295K,  L0Int-G ,2013ApJ...772...79A,      ... ,               ... ,    24.980,     1.490,2016ApJ...833...96L,    13.595,     0.028,    12.897,     0.026,    12.371,     0.026,    11.975,     0.024,    11.622,     0.021,    11.216,     0.123,    19.850,-99999.000,    20.939,     0.024,    18.141,     0.004,    16.549,     0.005,    15.542,     0.007,    18.538,     0.002,     724.7,     1.7,    21.390,     0.221,      38.4,     7.8,    16.868,     0.008,    1437.1,    10.9,    18.328,   22.65, 0.19,   12.69, 0.28,    6.46, 0.32
 J0614-2019 , 93.550518862,-20.323118009,         SIPS J0614-2019 ,2011AJ....141...54A, 2941124270643891072,  0.18,       ...,                ...,      ... ,               ... ,       L4 ,2011AJ....141...54A,      ... ,               ... ,    34.300,     3.000,2013AJ....146..161M,    14.783,     0.028,    13.901,     0.024,    13.375,     0.037,    13.012,     0.024,    12.769,     0.026,    12.246,-99999.000,-99999.000,-99999.000,    21.404,     0.041,    19.146,     0.006,    17.744,     0.006,    16.792,     0.007,    19.662,     0.006,     257.3,     1.4,    21.576,     0.405,      32.4,    12.1,    18.010,     0.017,     502.0,     8.0,    19.952,   32.84, 0.68,  139.57, 1.16, -308.47, 1.65
 J0615-0100 , 93.956503349, -1.011821081, DENIS-P J0615493-010041 ,2008MNRAS.383..831P, 3121200807575320448,  0.10,       ...,                ...,      L2: ,2008MNRAS.383..831P,       L1 ,2014ApJ...794..143B,      ... ,               ... ,    45.700,     0.112,2014A&A...565A..20S,    13.754,     0.027,    12.984,     0.023,    12.541,     0.026,    12.197,     0.024,    11.948,     0.022,    11.295,     0.163,-99999.000,-99999.000,    20.599,     0.029,    18.156,     0.007,    16.627,     0.003,    15.660,     0.004,    18.552,     0.003,     715.5,     2.1,    19.972,     0.272,     141.8,    35.6,    16.904,     0.013,    1389.9,    16.8,    18.697,   44.80, 0.33,  199.17, 0.46,  -57.86, 0.42
 J0616-4557 , 94.021872860,-45.951682071,  2MASS 06160532-4557080 ,2008AJ....136.1290R, 5567054149998654848,  0.04,       ...,                ...,       L2 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.157,     0.042,    14.259,     0.044,    13.598,     0.039,    13.119,     0.023,    12.811,     0.023,    12.307,     0.218,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.147,     0.006,     164.7,     0.9,    21.421,     0.213,      37.3,     7.3,    18.465,     0.020,     330.1,     6.2,    19.989,   33.97, 0.58,  -49.27, 1.10,  131.28, 1.08
 J0624+6626 , 96.177826980, 66.439735294,WISE J062442.37+662625.6 ,2013ApJ...776..126C, 1104317391237838464,  0.33,       ...,                ...,      ... ,               ... ,       L1 ,2013ApJ...776..126C,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.412,     0.049,    12.768,     0.046,    12.268,     0.031,    11.881,     0.023,    11.680,     0.021,    11.434,     0.156,-99999.000,-99999.000,    20.303,     0.001,-99999.000,-99999.000,    16.518,     0.016,    15.521,     0.006,    18.435,     0.002,     797.1,     1.4,    21.386,     0.128,      38.6,     4.6,    16.827,     0.008,    1492.7,    10.4,    18.507,   47.70, 0.21,  353.87, 0.23, -520.29, 0.28
 J0624-4521 , 96.191216883,-45.363580757,  2MASS 06244595-4521548 ,2008AJ....136.1290R, 5556620540565785600,  0.24,       ...,                ...,      L5: ,2008AJ....136.1290R,       L5 ,2014ApJ...794..143B,      ... ,               ... ,    81.240,     0.440,2016AJ....152...24W,    14.480,     0.029,    13.335,     0.028,    12.595,     0.026,    11.851,     0.022,    11.490,     0.021,    10.760,     0.072,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.842,     0.006,     218.1,     1.1,    21.433,     0.189,      36.9,     6.4,    18.063,     0.018,     478.1,     7.7,    19.363,   81.62, 0.50,  -35.75, 0.89,  376.67, 1.24
 J0632+8305 , 98.026340119, 83.083466897,  2MASS 06320617+8305014 ,2008AJ....136.1290R, 1143789235905336576,  0.19,       ...,                ...,     L0.5 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.754,     0.027,    12.943,     0.031,    12.400,     0.028,    12.073,     0.023,    11.831,     0.022,    11.452,     0.151,    21.648,     0.172,    20.457,     0.059,    18.051,     0.008,    16.582,     0.006,    15.586,     0.006,    18.497,     0.003,     752.4,     1.9,    21.457,     0.167,      36.1,     5.5,    16.892,     0.014,    1406.0,    17.9,    18.591,   43.90, 0.22,   22.54, 0.40,  -50.65, 0.43
 J0632-5010 , 98.099471684,-50.176378444,             2MUCD 20248 ,2008AJ....136.1290R, 5550802234268442496,  0.04,      MG; ,2014ApJ...783..121G,       L3 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.024,     0.043,    14.031,     0.039,    13.337,     0.030,    12.610,     0.023,    12.169,     0.022,    11.729,     0.146,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.280,     0.010,     145.6,     1.4,    20.230,     0.377,     111.8,    38.8,    18.566,     0.025,     300.9,     7.1,    19.763,   32.67, 0.82,  -93.13, 1.76,    0.22, 1.57
