SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J1756-4805 ,269.234696878,-48.085879542, DENIS-P J1756561-480509 ,2008MNRAS.383..831P, 5947766235872922624,  0.16,       ...,                ...,       L0 ,2008MNRAS.383..831P,      ... ,               ... ,      ... ,               ... ,    47.039,     0.058,2014A&A...565A..20S,    13.409,     0.022,    12.709,     0.023,    12.190,     0.021,    11.876,     0.024,    11.626,     0.022,    11.061,     0.124,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.190,     0.004,     998.8,     3.7,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    18.236,   47.15, 0.23,   77.11, 0.40,   29.86, 0.38
 J1800-1559 ,270.004829604,-15.991265838,  2MASS 18000116-1559235 ,2012MNRAS.427.3280F, 4145132555890838784,  0.15,       ...,                ...,     L5.5 ,2012MNRAS.427.3280F,     L4.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.431,     0.024,    12.521,     0.030,    11.981,     0.030,    11.341,     0.027,    11.144,     0.026,    11.088,     0.206,-99999.000,-99999.000,-99999.000,-99999.000,    18.316,     0.028,    16.724,     0.009,    15.641,     0.004,    18.616,     0.003,     674.4,     2.0,    20.074,     0.141,     129.0,    16.8,    16.795,     0.027,    1536.8,    37.8,    18.748,   80.90, 0.34,   -7.45, 0.58, -296.09, 0.49
 J1800+0134 ,270.111119194,  1.580817257,WISEP J180026.60+013453.1,2011ApJ...736L..34G, 4468009917744160000,  0.26,       ...,                ...,      ... ,               ... ,     L7.5 ,2011ApJ...736L..34G,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.298,     0.036,    13.120,     0.036,    12.421,     0.024,    11.543,     0.022,    11.073,     0.019,     9.977,     0.067,-99999.000,-99999.000,    21.865,     0.179,    19.926,     0.014,    17.443,     0.006,    16.417,     0.018,    19.552,     0.007,     284.8,     1.8,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    19.614,  127.44, 0.66,  183.13, 1.31, -382.81, 1.46
 J1807+5015 ,271.816572024, 50.258197767,  2MASSI J1807159+501531 ,2003AJ....126.2421C, 2123161836615550848,  0.14,       ...,                ...,     L1.5 ,2003AJ....126.2421C,       L1 ,2003IAUS..211..197W,      ... ,               ... ,    77.250,     1.480,2014PASP..126...15W,    12.934,     0.024,    12.127,     0.031,    11.602,     0.025,    11.246,     0.023,    10.971,     0.021,    10.505,     0.056,    21.955,     0.061,    19.748,     0.013,    17.375,     0.003,    15.925,     0.005,    14.936,     0.006,    17.807,     0.002,    1420.5,     2.2,    20.931,     0.137,      58.6,     7.4,    16.193,     0.006,    2676.0,    15.1,    17.978,   68.33, 0.13,   24.49, 0.25, -136.91, 0.27
 J1821+1414 ,275.368333941, 14.232507620,  2MASS 18212815+1414010 ,2008ApJ...685.1183L, 4485574134969389312,  0.15,       ...,                ...,     L4.5 ,2008ApJ...685.1183L,L5 p(red) ,2010ApJS..190..100K,      ... ,               ... ,   106.650,     0.200,2016MNRAS.455..357S,    13.431,     0.024,    12.396,     0.019,    11.650,     0.021,    10.853,     0.023,    10.475,     0.020,     9.928,     0.052,-99999.000,-99999.000,    20.646,     0.061,    18.448,     0.009,    16.701,     0.005,    15.669,     0.006,    18.684,     0.002,     633.7,     1.4,    21.353,     0.188,      39.7,     6.9,    17.009,     0.010,    1262.0,    11.4,    18.562,  106.87, 0.25,  227.32, 0.54, -246.41, 0.55
 J1826+3014 ,276.534430320, 30.235635196,   LSRJ182611.3+301419.1 ,2002ApJ...581L..47L, 4588438567346043776,  1.27,       ...,                ...,     sdL0 ,2002ApJ...581L..47L,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    11.659,     0.020,    11.175,     0.016,    10.811,     0.019,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    15.945,     0.001,    7891.8,     7.2,    19.597,     0.033,     200.4,     6.1,    14.351,     0.004,   14602.5,    57.3,    16.632,   90.00, 0.11,-2290.54, 0.17, -683.13, 0.18
 J1835+3299 ,278.907460882, 32.994892033,           LSRJ1835+3259 ,2002AJ....124.1190L, 2091177593123254016,  0.30,       ...,                ...,     M8.5 ,2007AJ....133.2258S,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    10.270,     0.022,     9.617,     0.021,     9.171,     0.018,     8.837,     0.022,     8.560,     0.020,     8.161,     0.020,-99999.000,-99999.000,-99999.000,-99999.000,    14.432,     0.002,-99999.000,-99999.000,-99999.000,-99999.000,    14.869,     0.001,   21264.6,    18.1,    18.444,     0.017,     579.2,     8.9,    13.285,     0.004,   38988.6,   136.8,    14.971,  175.82, 0.09,  -72.84, 0.15, -754.84, 0.15
 J1843+4060 ,280.841505810, 40.675141296,                 V492Lyr ,1976LHS...C......0L, 2098514324976071424,  0.26,       ...,                ...,     M8.0 ,2007AJ....133.2258S,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    11.313,     0.022,    10.688,     0.021,    10.308,     0.018,    10.080,     0.022,     9.874,     0.019,     9.620,     0.032,    18.867,     0.000,    17.467,     0.012,    14.840,     0.002,    13.587,     0.005,    12.905,     0.010,    15.431,     0.001,   12673.1,    10.7,    18.517,     0.021,     541.9,    10.4,    13.913,     0.005,   21855.2,    93.4,    15.842,   69.46, 0.09, -120.47, 0.15,  591.59, 0.16
 J1845-6357A,281.297226678,-63.960649176,          SCRJ1845-6357A ,2004AJ....128..437H, 6439125097425259776,  0.57,       ...,                ...,    M9.5V ,2017MNRAS.465.4723K,     M8.5 ,2015AJ....149..104B,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,     9.544,     0.023,     8.967,     0.027,     8.508,     0.020,     8.150,     0.023,     7.797,     0.021,     7.376,     0.017,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    14.023,     0.001,   46367.1,    22.4,    17.593,     0.010,    1269.3,    11.9,    12.450,     0.006,   84084.1,   460.1,    14.256,  249.92, 0.16, 2584.30, 0.13,  589.00, 0.19
 J1851+5935 ,282.757698929, 59.586328206,WISE J185101.83+593508.6 ,2013PASP..125..809T, 2156140966334260096,  0.17,       ...,                ...,      ... ,               ... ,     L9 p ,2013PASP..125..809T,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.939,     0.036,    13.966,     0.034,    13.459,     0.045,    12.655,     0.024,    12.178,     0.022,    11.371,     0.084,-99999.000,-99999.000,    21.164,     0.363,    20.372,     0.031,    18.355,     0.012,    17.144,     0.009,    20.373,     0.009,     133.8,     1.1,    21.043,     0.239,      52.9,    11.6,    18.506,     0.057,     317.9,    16.7,    20.514,   48.85, 0.65,   28.44, 1.72,  426.56, 1.83
